"행정구역(시군구)별","성별","연령별","항목","단위","2017 년",
"전국","계","계","주민등록연앙인구[명]","명","51230704",
"전국","계","0세","주민등록연앙인구[명]","명","369710.5",
"전국","계","1세","주민등록연앙인구[명]","명","425705",
"전국","계","2세","주민등록연앙인구[명]","명","440967",
"전국","계","3세","주민등록연앙인구[명]","명","439957",
"전국","계","4세","주민등록연앙인구[명]","명","464792",
"전국","계","5세","주민등록연앙인구[명]","명","482297",
"전국","계","6세","주민등록연앙인구[명]","명","474368",
"전국","계","7세","주민등록연앙인구[명]","명","460371.5",
"전국","계","8세","주민등록연앙인구[명]","명","457979",
"전국","계","9세","주민등록연앙인구[명]","명","481854",
"전국","계","10세","주민등록연앙인구[명]","명","472316.5",
"전국","계","11세","주민등록연앙인구[명]","명","442523.5",
"전국","계","12세","주민등록연앙인구[명]","명","454655.5",
"전국","계","13세","주민등록연앙인구[명]","명","483215",
"전국","계","14세","주민등록연앙인구[명]","명","493509.5",
"전국","계","15세","주민등록연앙인구[명]","명","526372",
"전국","계","16세","주민등록연앙인구[명]","명","598288.5",
"전국","계","17세","주민등록연앙인구[명]","명","628103.5",
"전국","계","18세","주민등록연앙인구[명]","명","628040",
"전국","계","19세","주민등록연앙인구[명]","명","653303.5",
"전국","계","20세","주민등록연앙인구[명]","명","675631.5",
"전국","계","21세","주민등록연앙인구[명]","명","693647",
"전국","계","22세","주민등록연앙인구[명]","명","707546.5",
"전국","계","23세","주민등록연앙인구[명]","명","708307.5",
"전국","계","24세","주민등록연앙인구[명]","명","713826.5",
"전국","계","25세","주민등록연앙인구[명]","명","709758",
"전국","계","26세","주민등록연앙인구[명]","명","667453.5",
"전국","계","27세","주민등록연앙인구[명]","명","632076.5",
"전국","계","28세","주민등록연앙인구[명]","명","624845.5",
"전국","계","29세","주민등록연앙인구[명]","명","618139",
"전국","계","30세","주민등록연앙인구[명]","명","618977.5",
"전국","계","31세","주민등록연앙인구[명]","명","636388",
"전국","계","32세","주민등록연앙인구[명]","명","653320",
"전국","계","33세","주민등록연앙인구[명]","명","700655",
"전국","계","34세","주민등록연앙인구[명]","명","780205",
"전국","계","35세","주민등록연앙인구[명]","명","825842",
"전국","계","36세","주민등록연앙인구[명]","명","833007",
"전국","계","37세","주민등록연앙인구[명]","명","826423",
"전국","계","38세","주민등록연앙인구[명]","명","769027",
"전국","계","39세","주민등록연앙인구[명]","명","744799.5",
"전국","계","40세","주민등록연앙인구[명]","명","764535.5",
"전국","계","41세","주민등록연앙인구[명]","명","769789",
"전국","계","42세","주민등록연앙인구[명]","명","817060",
"전국","계","43세","주민등록연앙인구[명]","명","867832",
"전국","계","44세","주민등록연앙인구[명]","명","885478.5",
"전국","계","45세","주민등록연앙인구[명]","명","909157",
"전국","계","46세","주민등록연앙인구[명]","명","920099",
"전국","계","47세","주민등록연앙인구[명]","명","910182.5",
"전국","계","48세","주민등록연앙인구[명]","명","913802",
"전국","계","49세","주민등록연앙인구[명]","명","882557.5",
"전국","계","50세","주민등록연앙인구[명]","명","827840.5",
"전국","계","51세","주민등록연앙인구[명]","명","822386.5",
"전국","계","52세","주민등록연앙인구[명]","명","830354",
"전국","계","53세","주민등록연앙인구[명]","명","800906",
"전국","계","54세","주민등록연앙인구[명]","명","824187",
"전국","계","55세","주민등록연앙인구[명]","명","883913",
"전국","계","56세","주민등록연앙인구[명]","명","904101.5",
"전국","계","57세","주민등록연앙인구[명]","명","873167.5",
"전국","계","58세","주민등록연앙인구[명]","명","801494",
"전국","계","59세","주민등록연앙인구[명]","명","761451.5",
"전국","계","60세","주민등록연앙인구[명]","명","720860",
"전국","계","61세","주민등록연앙인구[명]","명","695717",
"전국","계","62세","주민등록연앙인구[명]","명","654162",
"전국","계","63세","주민등록연앙인구[명]","명","559749",
"전국","계","64세","주민등록연앙인구[명]","명","545516.5",
"전국","계","65세","주민등록연앙인구[명]","명","494676",
"전국","계","66세","주민등록연앙인구[명]","명","430636",
"전국","계","67세","주민등록연앙인구[명]","명","445961.5",
"전국","계","68세","주민등록연앙인구[명]","명","445860",
"전국","계","69세","주민등록연앙인구[명]","명","444963.5",
"전국","계","70세","주민등록연앙인구[명]","명","399737.5",
"전국","계","71세","주민등록연앙인구[명]","명","334148",
"전국","계","72세","주민등록연앙인구[명]","명","324805.5",
"전국","계","73세","주민등록연앙인구[명]","명","334821.5",
"전국","계","74세","주민등록연앙인구[명]","명","372269.5",
"전국","계","75세","주민등록연앙인구[명]","명","370577.5",
"전국","계","76세","주민등록연앙인구[명]","명","311929",
"전국","계","77세","주민등록연앙인구[명]","명","293821.5",
"전국","계","78세","주민등록연앙인구[명]","명","279360",
"전국","계","79세","주민등록연앙인구[명]","명","250745.5",
"전국","계","80세 이상","주민등록연앙인구[명]","명","1531888.5",
"전국","계","80세","주민등록연앙인구[명]","명","229023.5",
"전국","계","81세","주민등록연앙인구[명]","명","211627",
"전국","계","82세","주민등록연앙인구[명]","명","189728.5",
"전국","계","83세","주민등록연앙인구[명]","명","160466.5",
"전국","계","84세","주민등록연앙인구[명]","명","137639",
"전국","계","85세 이상","주민등록연앙인구[명]","명","603404",
"전국","계","85세","주민등록연앙인구[명]","명","115928",
"전국","계","86세","주민등록연앙인구[명]","명","96753.5",
"전국","계","87세","주민등록연앙인구[명]","명","84542",
"전국","계","88세","주민등록연앙인구[명]","명","71257",
"전국","계","89세","주민등록연앙인구[명]","명","57907.5",
"전국","계","90세","주민등록연앙인구[명]","명","43886.5",
